tax_key,address,zip,city,lat,lon,year_built,zoning,geo_alder,number_stories,last_assessment_amount,neighborhood,count,tweeted
0009999000,9601 N WASAUKEE RD,,Milwaukee,43.19370842275866,-88.06480195226689,1993,IL1,9,1,1125200,NORTH GRANVILLE,1,1577247372639338496
0010001000,11505 W COUNTY LINE RD,53224,Milwaukee,43.191617454332174,-88.05391361573308,0,IL1,9,,48800,NORTH GRANVILLE,1,1192964519494074368
0010011000,9400 N 124TH ST,53224,Milwaukee,43.187777337666816,-88.06222727733926,2005,IL1,9,1,1331500,NORTH GRANVILLE,1,1192976633143148544
0010022000,9220 N 124TH ST,53224,Milwaukee,43.185010068022805,-88.06079171533128,0,IL1,9,,0,NORTH GRANVILLE,1,1192979442055942144
0019988000,9250 N 124TH ST,53224,Milwaukee,43.185318791862684,-88.06304389670537,0,IL1,9,,33100,NORTH GRANVILLE,1,1192986854011871233
0019989000,9302 N 124TH ST,53224,Milwaukee,43.18711381521162,-88.06023394938795,0,IL1,9,,0,NORTH GRANVILLE,1,1192987310780014592
0019990000,9300 N 124TH ST,53224,Milwaukee,43.18753654270746,-88.05979235486457,0,IL1,9,,0,NORTH GRANVILLE,1,1192978530218446848
0019991000,9500 N 124TH ST,53224,Milwaukee,43.1881890715747,-88.06094321573609,0,IL1,9,,0,NORTH GRANVILLE,1,1192992972331212800
0019992100,9200 N 124TH ST,53224,Milwaukee,43.184256591036394,-88.05982388830328,0,IL1,9,,54100,NORTH GRANVILLE,1,1193000524473360384
0019995111,9202 N 124TH ST,53224,Milwaukee,43.18466999379494,-88.05540574745372,0,IL1,9,,0,NORTH GRANVILLE,1,1193008068990255105
0019996100,12125 W COUNTY LINE RD,53224,Milwaukee,43.191676134473845,-88.05990168736855,1860,IL1,9,2,290800,NORTH GRANVILLE,1,1193015622617186304
0019996210,12301 W COUNTY LINE RD,53224,Milwaukee,43.18880496919368,-88.05873248009256,0,IL1,9,,0,NORTH GRANVILLE,1,1193023170934181893
0019997000,11715 W COUNTY LINE RD,53224,Milwaukee,43.190002622448716,-88.0578044312653,0,PK,9,,0,NORTH GRANVILLE,1,1193030720752693248
0019998100,11627 W COUNTY LINE RD,53224,Milwaukee,43.189940070825635,-88.05619792333538,0,IL1,9,,564600,NORTH GRANVILLE,1,1193038270583717888
0019998200,11617 W COUNTY LINE RD,53224,Milwaukee,43.19170778515997,-88.0555306341035,1955,IL1,9,1,246900,NORTH GRANVILLE,1,1193045819987025920
0019999100,11529 W COUNTY LINE RD,53224,Milwaukee,43.18995154145474,-88.05456096649067,1993,IL1,9,1,517100,NORTH GRANVILLE,1,1193053370082320384
0020032100,9235 N 107TH ST,53224,Milwaukee,43.186285077540084,-88.0465819559269,1970,IL1,9,1,13436000,NORTH GRANVILLE,1,1193060918638370816
0020041100,9325 N 107TH ST,53224,Milwaukee,43.18764606262492,-88.04654222635355,1975,IL1,9,1,12754000,NORTH GRANVILLE,1,1193068467580276736
0020071110,9401 N 107TH ST,53224,Milwaukee,43.1900696391977,-88.0463126028762,1962,IL1,9,1,13898000,NORTH GRANVILLE,1,1
0020081000,11025 W COUNTY LINE RD,53224,Milwaukee,43.191584321772915,-88.04825433110244,2004,IL1,9,2,577000,NORTH GRANVILLE,1,1193083568676839424
0020082000,10801 W COUNTY LINE RD,53224,Milwaukee,43.191894124836246,-88.04630935181953,2009,IL1,9,,205900,NORTH GRANVILLE,1,1193091117077684224
0029995100,11117 W COUNTY LINE RD,53224,Milwaukee,43.18604607691059,-88.05166496461054,0,IL1,9,,388400,NORTH GRANVILLE,1,1193098668993323008
0029996210,9125 N 107TH ST,53224,Milwaukee,43.1847528860406,-88.0466221731949,1978,IL1,9,1,21604000,NORTH GRANVILLE,1,at://did:plc:5lqgpx3svuvo5h62gnmzb76m/app.bsky.feed.post/3mb46kcn5am2x
0029999310,11225 W COUNTY LINE RD,53224,Milwaukee,43.19099667725928,-88.05149527498362,0,IL1,9,,14773700,NORTH GRANVILLE,1,1193121318637654020
0030001100,9530 N 107TH ST,53224,Milwaukee,43.19107104326722,-88.04255532235705,1972,IO1,9,1,974300,NORTH GRANVILLE,1,1193128867806011392
0030023110,10545 W DONGES CT,53224,Milwaukee,43.189604060507655,-88.04160024157824,1973,IO1,9,1,2024400,NORTH GRANVILLE,1,1193136417678991366
0030031100,9520 N 107TH ST,53224,Milwaukee,43.19049365540925,-88.04294898037264,1977,IO1,9,1,360000,NORTH GRANVILLE,1,1193143964955746304
0030032000,10560 W DONGES CT,53224,Milwaukee,43.19062903400992,-88.04149227541666,1973,IO1,9,1,272200,NORTH GRANVILLE,1,1193151518763036672
0030051000,9240 N 107TH ST,53224,Milwaukee,43.18629272413744,-88.04321945567241,1974,IO1,9,1,1070900,NORTH GRANVILLE,1,1193159066903891968
0030071000,10554 W DONGES CT,53224,Milwaukee,43.190942150336916,-88.04002719447571,1977,IO1,9,1,330300,NORTH GRANVILLE,1,1193166617468973056
0030072000,10542 W DONGES CT,53224,Milwaukee,43.19047528554812,-88.03941308839141,1978,IO1,9,1,431300,NORTH GRANVILLE,1,1193174166264057856
0030091000,9220 N 107TH ST,53224,Milwaukee,43.18565535892501,-88.04325379356777,1981,IO1,9,1,525300,NORTH GRANVILLE,1,1193181715738570752
0030131000,9434 N 107TH ST,53224,Milwaukee,43.18957035065316,-88.04299878079935,1978,IO1,9,1,1255600,NORTH GRANVILLE,1,1193196813706289153
0030142000,9350 N 107TH ST,53224,Milwaukee,43.18848736309212,-88.04284299518741,1979,IO1,9,1,432000,NORTH GRANVILLE,1,1193204363352784897
0030151000,9334 N 107TH ST,53224,Milwaukee,43.18753640023813,-88.04324605608514,0,IO1,9,,780300,NORTH GRANVILLE,1,1193211917617303552
0030152000,9306 N 107TH ST,53224,Milwaukee,43.187056412925585,-88.04327212492801,1982,IO1,9,1,389500,NORTH GRANVILLE,1,1193219468262027269
0030162000,9340 N 107TH ST,53224,Milwaukee,43.18817491151522,-88.04284108436451,1975,IO1,9,1,1154100,NORTH GRANVILLE,1,1193234562861731841
0030171000,9400 N 107TH ST,53224,Milwaukee,43.18888501536761,-88.04227976313375,1973,IO1,9,1,621500,NORTH GRANVILLE,1,1193242112608940035
0030182000,10536 W GLENBROOK CT,53224,Milwaukee,43.18781664285749,-88.04007424632668,0,IO1,9,,3312200,NORTH GRANVILLE,1,1193249665006878720
0030183000,10512 W GLENBROOK CT,53224,Milwaukee,43.187044477616666,-88.03967795939093,1976,IO1,9,1,532300,NORTH GRANVILLE,1,1193257213466480647
